Gene_Name	Best_Theta	Group	CHROM	START	STOP	STRAND	SIGVAL	Best_Theta_0	Loss_Diff_0	Category_0	Best_Theta_30	Loss_Diff_30	Category_30	Best_Theta_60	Loss_Diff_60	Category_60	Best_Theta_120	Loss_Diff_120	Category_120
YFL019C	NA	Bad	chrVI	100251	100605	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL020C	NA	Bad	chrVI	99230	99599	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL021C-A	NA	Bad	chrVI	95760	96615	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFL021W	NA	Bad	chrVI	95965	97498	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFL022C	311	Low	chrVI	93498	95010	-	1	NA	NA	bad_match	453	0.5677161	Low	311	0.6197739	Low	694	0.5146338	Low
YFL023W	1426	Medium	chrVI	90985	93376	+	1	1566	0.5594401	Low	1426	2.868088	Medium	1123	2.644152	Medium	1358	2.086762	Medium
YFL024C	2149	Low	chrVI	87846	90345	-	1	NA	NA	bad_match	2149	0.5261259	Low	151	0	Low	2112	0.08688668	Low
YFL025C	2188	Low	chrVI	84144	87234	-	1	NA	NA	bad_match	2188	1.525974	Low	642	1.353533	Low	867	1.219796	Low
YFL026W	850	Low	chrVI	82579	83875	+	1	NA	NA	reads<=5 	554	0.3462668	Low	1148	0.02199519	Low	850	1.542879	Low
YFL027C	1248	Low	chrVI	80418	81912	-	1	1133	0.3967941	Low	1248	1.196699	Low	167	0.06344668	Low	958	0.5372179	Low
YFL028C	230	Low	chrVI	79343	80213	-	1	NA	NA	Singular	296	0.7252847	Low	632	0.0317421	Low	230	0.765585	Low
YFL029C	632	Low	chrVI	78054	79161	-	1	NA	NA	bad_match	905	0.522785	Low	953	0.08842683	Low	632	1.71522	Low
YFL030W	151	Low	chrVI	76830	77988	+	1	NA	NA	bad_match	151	0.0420553	Low	151	0	Low	1006	0.01630229	Low
YFL031C-A	NA	Bad	chrVI	76013	76115	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFL031W	NA	Bad	chrVI	75178	76147	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFL032W	NA	Bad	chrVI	74871	75192	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFL033C	3606	High	chrVI	69114	74427	-	1	NA	NA	bad_match	3561	3.813447	Medium	3606	4.721526	High	3491	4.324601	High
YFL034C-A	NA	Bad	chrVI	64242	64932	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YFL034C-B	NA	Bad	chrVI	63015	63993	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YFL034W	1426	Bad	chrVI	65476	68698	+	1	NA	NA	bad_match	1470	9.616927	High	1426	10.07005	High	NA	NA	bad_match
YFL036W	2872	Low	chrVI	58781	62837	+	1	NA	NA	bad_match	3815	0.6912469	Low	2872	0.8274332	Low	567	0.06488007	Low
YFL037W	385	Low	chrVI	56335	57709	+	1	NA	NA	bad_match	151	0	Low	385	1.081494	Low	538	0.3798421	Low
YFL038C	NA	Bad	chrVI	55365	55986	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFL039C	NA	Bad	chrVI	53259	54696	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YFL040W	NA	Bad	chrVI	51349	52972	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL041W	366	Low	chrVI	49138	51007	+	1	NA	NA	bad_match	366	0.3422798	Low	1126	0.1798679	Low	503	0.2508997	Low
YFL041W-A	NA	Bad	chrVI	48733	48925	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFL042C	1283	High	chrVI	45719	47744	-	1	NA	NA	bad_match	1283	5.319318	High	1414	2.914796	Medium	1281	2.844183	Medium
YFL044C	758	Low	chrVI	44654	45560	-	1	NA	NA	bad_match	758	0.9730434	Low	151	0.7678947	Low	346	0.5537556	Low
YFL045C	560	Bad	chrVI	43627	44392	-	1	NA	NA	bad_match	NA	NA	bad_match	560	1.336761	Low	151	0	Low
YFL046W	NA	Bad	chrVI	42814	43438	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFL047W	470	Low	chrVI	40420	42565	+	1	NA	NA	bad_match	730	0.3462826	Low	470	0.4602587	Low	1931	0.1830634	Low
YFL048C	900	Low	chrVI	38842	40180	-	1	NA	NA	bad_match	900	0.9832558	Low	990	0.08379047	Low	354	0.798891	Low
YFL049W	1445	Low	chrVI	36802	38674	+	1	NA	NA	bad_match	1647	0.507082	Low	1063	0.4482438	Low	1445	0.8407704	Low
YFL050C	560	Low	chrVI	33271	35848	-	1	NA	NA	bad_match	396	0.4682463	Low	1135	0.3135555	Low	560	1.084638	Low
YFL051C	NA	Bad	chrVI	30057	30540	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL052W	NA	Bad	chrVI	28231	29629	+	1	NA	NA	Singular	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL053W	NA	Bad	chrVI	23422	25198	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL054C	251	Low	chrVI	20846	22787	-	1	NA	NA	bad_match	251	0.5367469	Low	151	0.1276711	Low	151	0.03540459	Low
YFL055W	1156	Low	chrVI	17003	18680	+	1	151	0	Low	1156	0.5033541	Low	1512	0.2149175	Low	1522	0.04929407	Low
YFL056C	NA	Bad	chrVI	14792	15431	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFL057C	NA	Bad	chrVI	14304	14763	-	1	NA	NA	reads<=5 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFL058W	NA	Bad	chrVI	12928	13951	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL059W	NA	Bad	chrVI	11362	12259	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL060C	NA	Bad	chrVI	10300	10969	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL061W	NA	Bad	chrVI	9544	10222	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL062W	NA	Bad	chrVI	6425	7565	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL063W	NA	Bad	chrVI	5065	5521	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL064C	NA	Bad	chrVI	3321	3846	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFL065C	NA	Bad	chrVI	3029	3338	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFL066C	NA	Bad	chrVI	1436	2615	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL067W	NA	Bad	chrVI	835	1363	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFL068W	NA	Bad	chrVI	52	535	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFR001W	NA	Bad	chrVI	149109	149724	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR002W	1893	Low	chrVI	150015	152535	+	1	NA	NA	bad_match	151	0.3187112	Low	241	0.4763053	Low	1893	0.6247498	Low
YFR003C	NA	Bad	chrVI	152656	153124	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR004W	343	Low	chrVI	153392	154313	+	1	NA	NA	bad_match	343	1.194471	Low	230	0.01807607	Low	151	0	Low
YFR005C	151	Low	chrVI	154526	155873	-	1	NA	NA	bad_match	151	1.303515	Low	189	0.2974104	Low	1179	0.09186751	Low
YFR006W	572	Low	chrVI	156144	157752	+	1	NA	NA	bad_match	572	0.4547535	Low	151	0.06318115	Low	805	0.3414748	Low
YFR007W	351	Low	chrVI	159298	160360	+	1	589	0.1396819	Low	151	0.08514711	Low	351	0.518981	Low	275	0.05993201	Low
YFR008W	NA	Bad	chrVI	160534	161200	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR009W	NA	Bad	chrVI	162487	164746	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR009W-A	NA	Bad	chrVI	163874	164132	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR010W	780	Low	chrVI	165066	166566	+	1	NA	NA	bad_match	169	0.2996038	Low	585	0.2921353	Low	780	0.6439533	Low
YFR010W-A	NA	Bad	chrVI	166727	166916	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR011C	NA	Bad	chrVI	166745	167258	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR012W	NA	Bad	chrVI	167887	168496	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFR012W-A	NA	Bad	chrVI	169223	169310	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFR013W	1326	Medium	chrVI	169921	172285	+	1	NA	NA	bad_match	1350	1.490822	Low	1468	1.649094	Low	1326	2.986984	Medium
YFR014C	448	Medium	chrVI	172536	173877	-	1	NA	NA	bad_match	380	1.100142	Low	555	1.596759	Low	448	3.60948	Medium
YFR015C	1949	Low	chrVI	174264	176391	-	1	NA	NA	bad_match	1949	0.3828531	Low	1176	0.2353798	Low	1073	0.08267393	Low
YFR016C	1627	Medium	chrVI	177041	180743	-	1	NA	NA	bad_match	1780	0.9950081	Low	1627	2.045489	Medium	1795	1.406519	Low
YFR017C	NA	Bad	chrVI	182273	182861	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR018C	307	Low	chrVI	183130	184222	-	1	NA	NA	bad_match	307	1.514272	Low	849	0.4171421	Low	151	0	Low
YFR019W	2697	High	chrVI	184501	191338	+	1	NA	NA	bad_match	2697	4.70762	High	2822	4.103098	High	4631	3.716869	Medium
YFR020W	NA	Bad	chrVI	192736	193435	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR021W	1061	Low	chrVI	194811	196314	+	1	NA	NA	bad_match	186	0.3808261	Low	949	0.2822276	Low	1061	0.6521088	Low
YFR022W	524	Low	chrVI	196832	199034	+	1	NA	NA	bad_match	524	1.145131	Low	970	0.7351909	Low	941	0.7171787	Low
YFR023W	NA	Bad	chrVI	199873	201709	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFR024C-A	NA	Bad	chrVI	201959	203433	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YFR025C	186	Low	chrVI	203742	204750	-	1	NA	NA	bad_match	151	0.0109871	Low	151	0	Low	186	0.01743714	Low
YFR026C	NA	Bad	chrVI	205747	206257	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR027W	671	Low	chrVI	207451	208297	+	1	529	0.5464765	Low	308	0.3331231	Low	671	0.4009693	Low	347	0.04429494	Low
YFR028C	1356	Low	chrVI	208412	210068	-	1	NA	NA	bad_match	1356	0.8758663	Low	1464	0.1247839	Low	1367	0.3611575	Low
YFR029W	231	Low	chrVI	210936	212973	+	1	NA	NA	bad_match	1387	0.3127038	Low	563	0.1527	Low	231	0.3430225	Low
YFR030W	335	Bad	chrVI	213311	216419	+	1	NA	NA	bad_match	NA	NA	bad_match	398	0.1179446	Low	335	0.1251422	Low
YFR031C	1154	High	chrVI	216593	220106	-	1	NA	NA	bad_match	1142	2.691567	Medium	1154	4.206419	High	1126	3.368858	Medium
YFR031C-A	NA	Bad	chrVI	220506	221418	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YFR032C	NA	Bad	chrVI	222089	222959	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFR032C-A	NA	Bad	chrVI	223257	223437	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YFR032C-B	NA	Bad	chrVI	223709	223973	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFR033C	NA	Bad	chrVI	224325	224769	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR034C	776	Low	chrVI	225019	225958	-	1	NA	NA	bad_match	232	0.05079082	Low	151	0	Low	776	0.8133958	Low
YFR034W-A	NA	Bad	chrVI	226021	226309	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR035C	NA	Bad	chrVI	226120	226465	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR036W	NA	Bad	chrVI	226962	227337	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR036W-A	NA	Bad	chrVI	227450	228101	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR037C	NA	Bad	chrVI	227512	229186	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR038W	1420	Low	chrVI	229379	231941	+	1	NA	NA	bad_match	559	0.3382543	Low	1420	1.210967	Low	1115	0.2448175	Low
YFR039C	564	Low	chrVI	232011	233544	-	1	NA	NA	bad_match	1118	0.4415614	Low	915	0.1789301	Low	564	1.117034	Low
YFR040W	896	Low	chrVI	234241	237250	+	1	NA	NA	bad_match	219	0.3864406	Low	896	0.4560605	Low	2399	0.0618575	Low
YFR041C	463	Low	chrVI	237367	238255	-	1	NA	NA	bad_match	151	0	Low	463	0.4076589	Low	241	0.3438969	Low
YFR042W	NA	Bad	chrVI	238457	239060	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR043C	393	Low	chrVI	239113	239827	-	1	528	1.694839	Low	393	1.962528	Low	159	0.1054797	Low	483	0.0001323867	Low
YFR044C	151	Low	chrVI	239991	241437	-	1	NA	NA	bad_match	1000	0.002392938	Low	1160	0.05194576	Low	151	0.3246473	Low
YFR045W	NA	Bad	chrVI	241997	242999	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YFR046C	824	Low	chrVI	243073	244159	-	1	908	0.3105831	Low	824	0.6357214	Low	691	0.2766748	Low	459	0.003899309	Low
YFR047C	723	Low	chrVI	244278	245166	-	1	NA	NA	bad_match	626	0.01830959	Low	723	0.6075411	Low	239	0.392865	Low
YFR048W	269	Low	chrVI	246145	248134	+	1	NA	NA	bad_match	1111	0.2176981	Low	1526	0.3834376	Low	269	0.5141954	Low
YFR049W	NA	Bad	chrVI	248522	248894	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YFR050C	153	Low	chrVI	249065	249866	-	1	NA	NA	bad_match	157	0.2531399	Low	608	0.2290143	Low	153	0.5682311	Low
YFR051C	1001	Medium	chrVI	250162	251803	-	1	NA	NA	bad_match	1395	0.6138035	Low	414	1.611266	Low	1001	2.11702	Medium
YFR052C-A	NA	Bad	chrVI	253428	253734	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR052W	677	Low	chrVI	252504	253329	+	1	NA	NA	bad_match	413	0.2681228	Low	339	0.1192542	Low	677	0.4016496	Low
YFR053C	NA	Bad	chrVI	253591	255049	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR054C	NA	Bad	chrVI	258854	259433	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YFR055W	NA	Bad	chrVI	264203	265226	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR056C	NA	Bad	chrVI	263956	264325	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YFR057W	NA	Bad	chrVI	269060	269516	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YGL001C	431	Low	chrVII	495452	496502	-	1	NA	NA	bad_match	431	0.5860271	Low	900	0.2583867	Low	805	0.03438271	Low
YGL002W	NA	Bad	chrVII	494516	495167	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL003C	834	Low	chrVII	492473	494174	-	1	NA	NA	bad_match	827	0.6287619	Low	834	1.225518	Low	201	0.5269337	Low
YGL004C	168	Low	chrVII	490702	491956	-	1	NA	NA	bad_match	168	1.014025	Low	195	0.4428019	Low	186	0.0004737973	Low
YGL005C	365	Low	chrVII	489707	490547	-	1	NA	NA	bad_match	151	0	Low	253	0.0279138	Low	365	1.069125	Low
YGL006W	502	Low	chrVII	485920	489442	+	1	NA	NA	bad_match	224	0.03843671	Low	389	0.1305416	Low	502	0.2990883	Low
YGL006W-A	NA	Bad	chrVII	485422	485533	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YGL007C-A	NA	Bad	chrVII	482940	483027	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL007W	NA	Bad	chrVII	483259	483637	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YGL008C	NA	Bad	chrVII	479909	482666	-	1	NA	NA	bad_match	NA	NA	bad_match	NA	NA	bad_match	NA	NA	bad_match
YGL009C	2188	Low	chrVII	476312	478652	-	1	NA	NA	bad_match	2080	0.03342862	Low	2191	0.002728793	Low	2188	0.1220887	Low
YGL010W	NA	Bad	chrVII	475544	476069	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL011C	464	Bad	chrVII	474488	475247	-	1	NA	NA	bad_match	NA	NA	bad_match	464	0.7265376	Low	484	0.3662459	Low
YGL012W	676	Low	chrVII	472854	474276	+	1	NA	NA	bad_match	260	0.3464155	Low	723	0.473964	Low	676	0.8668085	Low
YGL013C	255	Low	chrVII	469091	472298	-	1	NA	NA	bad_match	255	0.2820325	Low	668	0.2439756	Low	151	0.001175606	Low
YGL014C-A	NA	Bad	chrVII	466236	466398	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL014W	NA	Bad	chrVII	466140	468807	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL015C	NA	Bad	chrVII	465042	465435	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YGL016W	2053	Medium	chrVII	461665	464911	+	1	NA	NA	bad_match	1480	0.7473331	Low	1702	1.124745	Low	2053	2.148063	Medium
YGL017W	1293	Low	chrVII	459853	461365	+	1	NA	NA	bad_match	1240	0.3397213	Low	1293	0.827474	Low	959	0.09930379	Low
YGL018C	NA	Bad	chrVII	459109	459664	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL019W	209	Bad	chrVII	458155	458992	+	1	NA	NA	bad_match	NA	NA	bad_match	689	1.054336	Low	209	1.303831	Low
YGL020C	455	Low	chrVII	457162	457870	-	1	NA	NA	bad_match	455	0.6787277	Low	453	0.005500765	Low	465	0.08511985	Low
YGL021W	1508	Medium	chrVII	454784	457067	+	1	NA	NA	bad_match	1411	1.419529	Low	1508	2.729536	Medium	1543	0.6986224	Low
YGL022W	1020	Low	chrVII	452403	454560	+	1	NA	NA	bad_match	804	0.1190006	Low	1069	0.9644248	Low	1020	1.58766	Low
YGL023C	467	Low	chrVII	450196	452104	-	1	NA	NA	bad_match	716	0.151319	Low	986	0.2581148	Low	467	1.111969	Low
YGL024W	NA	Bad	chrVII	449787	450123	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL025C	NA	Bad	chrVII	448763	449957	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL026C	333	Bad	chrVII	446411	448535	-	1	NA	NA	bad_match	NA	NA	bad_match	333	0.04119149	Low	900	0.008769014	Low
YGL027C	1343	Low	chrVII	443641	446143	-	1	NA	NA	bad_match	1343	0.2573195	Low	513	0.04080725	Low	244	0.1806266	Low
YGL028C	1458	Bad	chrVII	441280	442909	-	1	NA	NA	bad_match	NA	NA	bad_match	1458	0.4153881	Low	158	0.297162	Low
YGL029W	NA	Bad	chrVII	440062	440425	+	1	NA	NA	lens<=700 	NA	NA	reads<=5 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL030W	NA	Bad	chrVII	439090	439638	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YGL031C	NA	Bad	chrVII	437466	437934	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YGL032C	NA	Bad	chrVII	436569	436833	-	1	NA	NA	reads<=5 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL033W	NA	Bad	chrVII	435624	436351	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YGL034C	NA	Bad	chrVII	433213	433579	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YGL035C	717	Low	chrVII	431547	433062	-	1	NA	NA	bad_match	214	0.2806955	Low	717	0.8415551	Low	151	0.2257454	Low
YGL036W	2190	Low	chrVII	428600	431330	+	1	NA	NA	bad_match	1688	0.04588491	Low	272	0.1209628	Low	2190	0.414684	Low
YGL037C	NA	Bad	chrVII	427296	427947	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL038C	1041	Low	chrVII	425361	426804	-	1	NA	NA	bad_match	1041	0.9747179	Low	617	0.4271502	Low	834	0.8572149	Low
YGL039W	373	Medium	chrVII	423960	425007	+	1	NA	NA	bad_match	830	1.236245	Low	485	0.3142983	Low	373	2.120315	Medium
YGL040C	232	Low	chrVII	419526	420555	-	1	NA	NA	bad_match	232	0.5076064	Low	151	0.03053492	Low	847	0.2898205	Low
YGL041C	NA	Bad	chrVII	419021	419225	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL041C-B	NA	Bad	chrVII	418703	418886	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL041W-A	NA	Bad	chrVII	418824	419289	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL042C	NA	Bad	chrVII	418287	418593	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL043W	NA	Bad	chrVII	417482	418412	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL044C	646	Medium	chrVII	416145	417036	-	1	NA	NA	bad_match	318	1.844723	Low	646	2.047749	Medium	151	0.3389479	Low
YGL045W	773	Low	chrVII	414101	415730	+	1	NA	NA	bad_match	773	1.882659	Low	815	0.5068424	Low	1192	1.343798	Low
YGL047W	NA	Bad	chrVII	411551	412160	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL048C	563	Low	chrVII	410068	411286	-	1	NA	NA	bad_match	563	0.5144791	Low	939	0.004544011	Low	648	0.04598879	Low
YGL049C	583	Medium	chrVII	406859	409604	-	1	NA	NA	bad_match	838	1.655114	Low	583	2.846731	Medium	871	2.712305	Medium
YGL050W	151	Low	chrVII	405775	406597	+	1	319	0.4685914	Low	674	0.2205518	Low	151	0.6630929	Low	250	0.2006722	Low
YGL051W	NA	Bad	chrVII	403686	404391	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL052W	NA	Bad	chrVII	403436	403742	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL053W	NA	Bad	chrVII	402588	403302	+	1	NA	NA	Singular	NA	NA	Singular	NA	NA	Singular	NA	NA	Singular
YGL054C	NA	Bad	chrVII	400870	401287	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL055W	894	Low	chrVII	398627	400160	+	1	NA	NA	bad_match	894	0.482061	Low	480	0.2384839	Low	859	0.4711448	Low
YGL056C	1237	Low	chrVII	396034	397618	-	1	NA	NA	bad_match	151	0.01450444	Low	646	0.02708434	Low	1237	0.07589494	Low
YGL057C	644	Low	chrVII	394965	395829	-	1	203	6.676847	High	274	0.05031083	Low	644	0.3828479	Low	151	0.2735083	Low
YGL058W	NA	Bad	chrVII	393985	394504	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YGL059W	666	Low	chrVII	392222	393698	+	1	NA	NA	bad_match	666	0.6093795	Low	327	0.001960732	Low	151	0	Low
YGL060W	1111	Medium	chrVII	390064	391990	+	1	NA	NA	bad_match	1080	1.258499	Low	1281	1.099805	Low	1111	2.550172	Medium
YGL061C	474	Low	chrVII	388967	389711	-	1	478	1.368178	Low	474	0.5347778	Low	156	0.05252588	Low	221	0.16265	Low
YGL062W	425	Bad	chrVII	385195	388732	+	1	NA	NA	bad_match	NA	NA	bad_match	425	0.0518773	Low	151	0.003165668	Low
YGL063C-A	NA	Bad	chrVII	384501	384651	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL063W	NA	Bad	chrVII	383653	384766	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YGL064C	1422	Low	chrVII	381522	383208	-	1	NA	NA	bad_match	152	0.1493514	Low	799	0.3750924	Low	1422	1.332858	Low
